Date,ContractCode,Item,TradingVolume(Long),TradingValue(Long)(Thousands),TradingVolume(Short),TradingValue(Short)(Thousands),TradingVolume(Net),TradingValue(Net)(Thousands),OpenInterest(Long),ContractValueofOpenInterest(Long)(Thousands),OpenInterest(Short),ContractValueofOpenInterest(Short)(Thousands),OpenInterest(Net),ContractValueofOpenInterest(Net)(Thousands),download_timestamp,process_timestamp
20260713,半導體30期貨,自營商,88,71555,91,73698,-3,-2143,53,42530,74,59252,-21,-16722,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,富櫃200期貨,外資及陸資,0,0,11,10722,-11,-10722,0,0,5,4874,-5,-4874,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,富櫃200期貨,投信,19,18625,19,18519,0,105,29,28107,0,0,29,28107,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,富櫃200期貨,自營商,31,30215,20,19591,11,10624,11,10722,24,23275,-13,-12553,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型臺指期貨,外資及陸資,155707,358029286,153055,351885710,2652,6143576,8947,20397702,1917,4384370,7030,16013332,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型臺指期貨,投信,16,36775,8,18250,8,18524,135,307943,84,191373,51,116570,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型臺指期貨,自營商,14469,33304931,14069,32400246,400,904685,2937,6732225,11336,26025678,-8399,-19293453,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型金融期貨,外資及陸資,140,109817,139,109125,1,692,4,3131,13,10173,-9,-7042,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型金融期貨,自營商,56,44178,30,23522,26,20656,36,28176,64,50090,-28,-21914,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型電子期貨,外資及陸資,465,684346,483,711662,-18,-27316,16,23389,65,95424,-49,-72035,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型電子期貨,投信,22,32544,20,29249,2,3294,71,104133,0,0,71,104133,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,小型電子期貨,自營商,228,335380,226,332914,2,2465,244,356685,235,343794,9,12891,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,微型臺指期貨,外資及陸資,190128,87467545,192278,88431663,-2150,-964118,11519,5248719,3524,1607404,7995,3641315,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,微型臺指期貨,自營商,37195,17160821,28915,13317248,8280,3843572,7447,3421290,50856,23299858,-43409,-19878568,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,東證期貨,外資及陸資,40,32142,35,28111,5,4032,0,0,31,24989,-31,-24989,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,東證期貨,自營商,13,10492,23,18590,-10,-8098,0,0,77,62070,-77,-62070,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,櫃買指數期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
